r,g,b,oc
0.091697738,0.057477131,0.04460035,49.67409091
0.063084039,0.044554074,0.038267419,49.67409091
0.081749215,0.044636591,0.034149847,55.53
0.07775222,0.052668133,0.042652579,43.37
0.075278714,0.049491999,0.03999089,44.86
0.085307381,0.05357683,0.042116219,48.47090909
0.078186724,0.051181834,0.040750436,48.47090909
0.072896177,0.048974632,0.039206813,48.87838486
0.062407857,0.04284007,0.035522071,49.02
0.083169731,0.045194947,0.033977823,20.27796224
0.139328675,0.075405325,0.051272723,20.27796224
0.058558366,0.041312979,0.035035271,43.01815707
0.077906054,0.045651496,0.035434266,55.12
0.100880907,0.054649973,0.038763126,53.27
0.09148774,0.061784229,0.049985423,35.52
0.165383401,0.101938244,0.07618513,25.5
0.214275342,0.130014399,0.090468331,48.09
0.127267832,0.076162448,0.055314484,55.14
0.113106945,0.067669699,0.050513538,8.684545381
0.181170192,0.109410036,0.078021441,50.13
0.167422433,0.095507513,0.064830514,52.93
0.087512721,0.057535727,0.04350005,51.93
0.147014578,0.096795152,0.07458237,46.31
0.164999087,0.102725602,0.07263134,49.81
0.092490875,0.056877235,0.043053447,55.24
0.121173723,0.07128331,0.051419006,52.75
0.124087033,0.070480752,0.050480259,53.75
0.098076195,0.057089546,0.043192382,50.37
0.113048969,0.06444171,0.047839625,51.64
0.10785935,0.059143793,0.043525153,52.52
0.08777846,0.053306416,0.040919111,52.11
0.112213525,0.073490014,0.056442318,34.15
0.156248649,0.110586218,0.083528088,4.87
0.144648814,0.100546652,0.073968727,6.42
0.11429153,0.074968579,0.059032103,25.0
0.144529165,0.097799925,0.076330958,14.67
0.111650712,0.077900813,0.062729412,25.53
0.115834566,0.077040055,0.06044655,24.67
0.127346151,0.087335981,0.070303139,14.04
0.153100375,0.091791512,0.066012002,44.88
0.127526526,0.087474285,0.069613526,13.24
0.134302558,0.092516853,0.072099652,12.38
0.115828828,0.071940623,0.05418397,43.48
0.185395114,0.129200147,0.099832753,8.8
0.108427145,0.074938776,0.059072794,22.56
0.223976043,0.160198411,0.121412841,25.77
0.234143983,0.165123301,0.125583705,25.94
0.182632472,0.124051899,0.095977224,22.78
0.159023418,0.113465179,0.087704575,31.72
0.225850273,0.160216149,0.122613898,26.86
0.138495168,0.091312732,0.070801552,26.91
0.213633226,0.149649784,0.112623992,30.84
0.16484694,0.118491438,0.092461667,23.04
0.198548378,0.127453179,0.094943442,26.36
0.206654963,0.150546849,0.114921442,27.75
0.171701721,0.12121632,0.094696062,21.18
0.122768797,0.082908441,0.065554568,35.18
0.145594751,0.104785885,0.082375293,35.18
0.15808643,0.113439379,0.089105795,25.27
0.153141668,0.097752595,0.074512925,25.8
0.165066276,0.117556027,0.094339794,28.94
0.150769521,0.115360578,0.095461339,28.94
0.080308943,0.054068982,0.043652775,37.21568627
0.077874202,0.050974421,0.041533663,37.21568627
0.119771033,0.094817449,0.081297403,9.351114361
0.056536279,0.038379935,0.032524265,39.67
0.078418783,0.054530716,0.045082135,31.57
0.080179074,0.055513593,0.046615773,40.3
0.109267251,0.081160377,0.06918792,37.81
0.183941313,0.134337536,0.109822322,28.39
0.448390892,0.352043971,0.298233727,11.22
0.100278398,0.071033838,0.059209356,37.23
0.101915419,0.074160226,0.06229766,21.88772286
0.31670551,0.236697786,0.19611625,15.69196475
0.297367713,0.205812933,0.163667747,17.76
0.13599472,0.099387039,0.084280918,25.37658281
0.078103246,0.057952011,0.049831741,21.88772286
0.190249667,0.141007866,0.118891459,15.69196475
0.228851295,0.171949339,0.142778029,22.47
0.121988606,0.086671721,0.071942366,25.37658281
0.152318405,0.117077269,0.101729645,21.88772286
0.253867647,0.183003946,0.15009611,15.69196475
0.190377279,0.143220179,0.11867638,24.11
0.090467215,0.064084344,0.053325783,25.37658281
0.091563671,0.068339393,0.058943716,21.88772286
0.243118928,0.168787112,0.136960011,15.69196475
0.298500209,0.211688582,0.170974616,23.45
0.088070009,0.055305829,0.043320793,44.89130435
0.077357938,0.046766716,0.037632999,44.89130435
0.078424076,0.042643989,0.032443529,51.7
0.06696181,0.044268336,0.036184525,50.63
0.138877658,0.085107691,0.060256483,28.24521739
0.146496698,0.092787021,0.063344165,28.24521739
0.07219365,0.043799528,0.034802041,44.32513514
0.071493885,0.044259629,0.034677099,44.32513514
0.072334322,0.048783353,0.038960278,51.21
0.086808752,0.054176973,0.040723131,28.80703704
0.111939048,0.071935556,0.05185289,28.80703704
0.068882081,0.042400221,0.033730948,46.49605263
0.091446358,0.052115172,0.039015836,46.49605263
0.058568614,0.039924845,0.032761411,48.18
0.106904615,0.07055621,0.056353982,28.34862069
0.144882152,0.088748955,0.064849634,28.34862069
0.09663921,0.060105549,0.046244175,34.58
0.069124665,0.044985007,0.03629437,48.36
0.137167718,0.084278952,0.062336497,29.11875
0.116607452,0.073646795,0.055211332,29.11875
0.09659957,0.054728964,0.040820347,50.01
0.07553025,0.048929441,0.038244872,47.32
0.241284824,0.159678569,0.117965881,37.03
0.200073614,0.127186597,0.093055596,30.34
0.202705421,0.13278497,0.099371935,29.04
0.188135231,0.120894224,0.089311876,37.96
0.188796448,0.10650788,0.072875311,40.44
0.170046719,0.109610661,0.077076847,20.97
0.135328675,0.092988276,0.071048215,23.95
0.182539105,0.121225264,0.081429585,19.46
0.15782822,0.105333272,0.078180718,18.23
0.074499549,0.04754527,0.036771933,8.64
0.115782269,0.074271795,0.051851161,32.18
0.144878837,0.096621536,0.071894809,21.39
0.139611044,0.088499483,0.066192031,19.9
0.138485324,0.096285882,0.073149848,31.75
0.131000545,0.090718516,0.070095846,23.4
0.131365811,0.086757611,0.064559883,28.98
0.124793966,0.083999974,0.064277982,27.89
0.181628894,0.125681219,0.09667183,14.37
0.08662799,0.056953885,0.046361569,29.52
0.09350409,0.062443734,0.051191265,29.41
0.121272655,0.079057863,0.062185353,29.3
0.098303145,0.066641964,0.053964577,25.38
0.114495232,0.072916713,0.057707108,29.98
0.098795923,0.066500747,0.054508472,28.52
0.104080157,0.074478028,0.061450905,23.02
0.094647845,0.059605023,0.046936248,40.38
0.06453919,0.042759234,0.035481886,23.05058632
0.085291698,0.05510458,0.044794251,40.27
0.058913378,0.041219197,0.035577962,23.05058632
0.277641381,0.21956284,0.162958602,1.231240139
0.28602526,0.227499136,0.169137679,1.019437427
0.314336615,0.256804043,0.192363232,1.403542372
0.230972804,0.178778272,0.128674637,1.973499436
0.234933199,0.178931771,0.126732858,1.122949764
0.273872239,0.20298655,0.140751418,2.345089062
0.286468166,0.214556324,0.14815749,1.596976628
0.123852978,0.072887913,0.052711049,51.98
0.143803366,0.088080359,0.060556817,46.44
0.186836419,0.110566844,0.0730493,39.55
0.128055549,0.072773931,0.050658714,48.46
0.142854556,0.087788319,0.063047427,50.72
0.129941294,0.074008516,0.053350031,53.65
0.143616345,0.078659349,0.055499112,53.7
0.144261638,0.08492101,0.060743058,53.97
0.134285874,0.064873545,0.042509928,57.67
0.14660096,0.083435418,0.060151985,54.32
