L,a,b,oc
4.9118186707,3.02869540787,2.7236605316,49.67409091
3.43269741417,1.28115455518,1.15968234117,49.67409091
3.8393988263,3.02402503837,2.23193836292,55.53
4.24324178739,1.95213233384,1.91944930287,43.37
3.98360580506,1.97492508778,1.81723163067,44.86
4.48397216937,2.66572988414,2.35187520979,48.47090909
4.15514116691,2.11018140341,1.99657849861,48.47090909
3.89492273811,1.76131720856,1.7625386419,48.87838486
3.31378120455,1.30888732535,1.26943922694,49.02
3.90458844069,3.11663355592,2.34929414671,20.27796224
7.85320337965,7.51028425801,6.43109096045,20.27796224
3.15581534927,1.11314881463,1.08018137775,43.01815707
3.80685365726,2.53402085129,2.03972867659,55.12
4.96819005494,4.36488571792,3.46449672113,53.27
5.21953621364,2.63840347216,2.54586438779,35.52
11.1552824788,7.02607168106,7.70543527098,25.5
15.2784013163,8.94346474215,11.0510435381,48.09
7.46572516282,5.79227679717,5.29932835423,55.14
6.29175480564,4.77277310155,4.12672544465,8.684545381
12.3600074307,7.84396692408,9.14892314685,50.13
10.659890967,8.08598197083,8.78660815515,52.93
4.79644628854,2.4714581822,2.66393651274,51.93
10.0401542575,5.43669968385,6.30463397968,46.31
11.1817869272,6.7039963831,8.31444059198,49.81
4.88720591595,3.14683535589,2.86182562282,55.24
6.84211199289,5.5128046207,4.85319453015,52.75
6.88148641235,6.05576572642,5.03801796125,53.75
5.06086829756,3.83971188853,3.1193266402,50.37
6.04534132658,5.12287246133,4.08575226634,51.64
5.49460313285,4.92502196744,3.75203381317,52.52
4.52614455616,2.94645553118,2.54962453902,52.11
6.73305113416,4.00725373013,4.018794519,34.15
11.5744213191,4.49528876406,6.97462017181,4.87
10.2637390834,4.39307757063,6.70696256735,6.42
6.93421825483,4.2020440697,3.97572743255,25.0
10.0450555987,4.98456147713,6.01288728349,14.67
7.10440597561,3.50500313505,3.70153467884,25.53
7.16008553707,4.16483838807,4.11862547067,24.67
8.50157607566,4.35582388849,4.68410948216,14.04
9.80703140197,6.86648510929,7.33113102025,44.88
8.51491499681,4.3238528871,4.81040349343,13.24
9.20438145373,4.40564824417,5.44867857989,12.38
6.72204091548,4.69528123007,4.30930767962,43.48
14.2180281196,5.63293584081,7.77080448878,8.8
6.73917692923,3.34288240591,3.66221668985,22.56
18.1317365521,5.97316512661,9.45285859756,25.77
18.8830751494,6.56866192615,9.79651442067,25.94
13.6827219314,6.04589778401,7.72702404322,22.78
11.9378366293,4.51005773527,6.73005653444,31.72
18.2033881543,6.25394007995,9.35006314576,26.86
9.24602737096,5.14891928141,5.73168171713,26.91
16.899263466,6.16297784866,9.27646975774,30.84
12.586729161,4.56343193127,6.77355632302,23.04
14.5195411594,7.48827200951,9.14043166387,26.36
16.7486650559,5.19089109291,8.62657384873,27.75
13.0617916587,5.06681716989,7.05181330429,21.18
7.92371792438,4.35900014041,4.53727108137,35.18
10.7106650094,4.08571115934,5.92393869408,35.18
11.9127725932,4.44834020353,6.43131330697,25.27
10.3451969817,6.08531947562,6.77841158899,25.8
12.5296239066,4.84130950217,6.35060071064,28.94
11.8725204999,3.40653416065,5.1587981639,28.94
4.39584500903,2.09472071391,2.03995182689,37.21568627
4.13945210018,2.12994917154,1.88923092372,37.21568627
8.97483834907,2.43825094107,3.52987468938,9.351114361
